,PID,Surv,Sex,Age,Fare,Cabin,hello
135,136,0,male,23.0,15.0458,,hello
136,137,1,female,19.0,26.2833,D47,hello
137,138,0,male,37.0,53.1,C123,hello
138,139,0,male,16.0,9.2167,,hello
139,140,0,male,24.0,79.2,B86,hello
140,141,0,female,,15.2458,,hello
141,142,1,female,22.0,7.75,,hello
142,143,1,female,24.0,15.85,,hello
143,144,0,male,19.0,6.75,,hello
144,145,0,male,18.0,11.5,,hello
145,146,0,male,19.0,36.75,,hello
146,147,1,male,27.0,7.7958,,hello
147,148,0,female,9.0,34.375,,hello
148,149,0,male,36.5,26.0,F2,hello
149,150,0,male,42.0,13.0,,hello
150,151,0,male,51.0,12.525,,hello
151,152,1,female,22.0,66.6,C2,hello
152,153,0,male,55.5,8.05,,hello
153,154,0,male,40.5,14.5,,hello
154,155,0,male,,7.3125,,hello
155,156,0,male,51.0,61.3792,,hello
156,157,1,female,16.0,7.7333,,hello
157,158,0,male,30.0,8.05,,hello
158,159,0,male,,8.6625,,hello
159,160,0,male,,69.55,,hello
160,161,0,male,44.0,16.1,,hello
161,162,1,female,40.0,15.75,,hello
162,163,0,male,26.0,7.775,,hello
163,164,0,male,17.0,8.6625,,hello
164,165,0,male,1.0,39.6875,,hello
165,166,1,male,9.0,20.525,,hello
166,167,1,female,,55.0,E33,hello
167,168,0,female,45.0,27.9,,hello
168,169,0,male,,25.925,,hello
169,170,0,male,28.0,56.4958,,hello
170,171,0,male,61.0,33.5,B19,hello
171,172,0,male,4.0,29.125,,hello
172,173,1,female,1.0,11.1333,,hello
173,174,0,male,21.0,7.925,,hello
174,175,0,male,56.0,30.6958,A7,hello
175,176,0,male,18.0,7.8542,,hello
176,177,0,male,,25.4667,,hello
177,178,0,female,50.0,28.7125,C49,hello
178,179,0,male,30.0,13.0,,hello
179,180,0,male,36.0,0.0,,hello
180,181,0,female,,69.55,,hello
181,182,0,male,,15.05,,hello
182,183,0,male,9.0,31.3875,,hello
183,184,1,male,1.0,39.0,F4,hello
184,185,1,female,4.0,22.025,,hello
185,186,0,male,,50.0,A32,hello
186,187,1,female,,15.5,,hello
187,188,1,male,45.0,26.55,,hello
188,189,0,male,40.0,15.5,,hello
189,190,0,male,36.0,7.8958,,hello
190,191,1,female,32.0,13.0,,hello
191,192,0,male,19.0,13.0,,hello
192,193,1,female,19.0,7.8542,,hello
193,194,1,male,3.0,26.0,F2,hello
194,195,1,female,44.0,27.7208,B4,hello
195,196,1,female,58.0,146.5208,B80,hello
196,197,0,male,,7.75,,hello
197,198,0,male,42.0,8.4042,,hello
198,199,1,female,,7.75,,hello
199,200,0,female,24.0,13.0,,hello
200,201,0,male,28.0,9.5,,hello
201,202,0,male,,69.55,,hello
202,203,0,male,34.0,6.4958,,hello
203,204,0,male,45.5,7.225,,hello
204,205,1,male,18.0,8.05,,hello
205,206,0,female,2.0,10.4625,G6,hello
206,207,0,male,32.0,15.85,,hello
207,208,1,male,26.0,18.7875,,hello
208,209,1,female,16.0,7.75,,hello
209,210,1,male,40.0,31.0,A31,hello
210,211,0,male,24.0,7.05,,hello
211,212,1,female,35.0,21.0,,hello
212,213,0,male,22.0,7.25,,hello
213,214,0,male,30.0,13.0,,hello
214,215,0,male,,7.75,,hello
215,216,1,female,31.0,113.275,D36,hello
216,217,1,female,27.0,7.925,,hello
217,218,0,male,42.0,27.0,,hello
218,219,1,female,32.0,76.2917,D15,hello
219,220,0,male,30.0,10.5,,hello
220,221,1,male,16.0,8.05,,hello
221,222,0,male,27.0,13.0,,hello
222,223,0,male,51.0,8.05,,hello
223,224,0,male,,7.8958,,hello
224,225,1,male,38.0,90.0,C93,hello
225,226,0,male,22.0,9.35,,hello
226,227,1,male,19.0,10.5,,hello
227,228,0,male,20.5,7.25,,hello
228,229,0,male,18.0,13.0,,hello
229,230,0,female,,25.4667,,hello
230,231,1,female,35.0,83.475,C83,hello
231,232,0,male,29.0,7.775,,hello
232,233,0,male,59.0,13.5,,hello
233,234,1,female,5.0,31.3875,,hello
234,235,0,male,24.0,10.5,,hello
235,236,0,female,,7.55,,hello
236,237,0,male,44.0,26.0,,hello
237,238,1,female,8.0,26.25,,hello
238,239,0,male,19.0,10.5,,hello
239,240,0,male,33.0,12.275,,hello
240,241,0,female,,14.4542,,hello
241,242,1,female,,15.5,,hello
242,243,0,male,29.0,10.5,,hello
243,244,0,male,22.0,7.125,,hello
244,245,0,male,30.0,7.225,,hello
245,246,0,male,44.0,90.0,C78,hello
246,247,0,female,25.0,7.775,,hello
247,248,1,female,24.0,14.5,,hello
248,249,1,male,37.0,52.5542,D35,hello
249,250,0,male,54.0,26.0,,hello
250,251,0,male,,7.25,,hello
251,252,0,female,29.0,10.4625,G6,hello
252,253,0,male,62.0,26.55,C87,hello
253,254,0,male,30.0,16.1,,hello
254,255,0,female,41.0,20.2125,,hello
255,256,1,female,29.0,15.2458,,hello
256,257,1,female,,79.2,,hello
257,258,1,female,30.0,86.5,B77,hello
258,259,1,female,35.0,512.3292,,hello
259,260,1,female,50.0,26.0,,hello
260,261,0,male,,7.75,,hello
261,262,1,male,3.0,31.3875,,hello
262,263,0,male,52.0,79.65,E67,hello
263,264,0,male,40.0,0.0,B94,hello
264,265,0,female,,7.75,,hello
265,266,0,male,36.0,10.5,,hello
266,267,0,male,16.0,39.6875,,hello
267,268,1,male,25.0,7.775,,hello
268,269,1,female,58.0,153.4625,C125,hello
269,270,1,female,35.0,135.6333,C99,hello
270,271,0,male,,31.0,,hello
271,272,1,male,25.0,0.0,,hello
272,273,1,female,41.0,19.5,,hello
273,274,0,male,37.0,29.7,C118,hello
274,275,1,female,,7.75,,hello
275,276,1,female,63.0,77.9583,D7,hello
276,277,0,female,45.0,7.75,,hello
277,278,0,male,,0.0,,hello
278,279,0,male,7.0,29.125,,hello
279,280,1,female,35.0,20.25,,hello
280,281,0,male,65.0,7.75,,hello
281,282,0,male,28.0,7.8542,,hello
282,283,0,male,16.0,9.5,,hello
283,284,1,male,19.0,8.05,,hello
284,285,0,male,,26.0,A19,hello
285,286,0,male,33.0,8.6625,,hello
286,287,1,male,30.0,9.5,,hello
287,288,0,male,22.0,7.8958,,hello
288,289,1,male,42.0,13.0,,hello
289,290,1,female,22.0,7.75,,hello
290,291,1,female,26.0,78.85,,hello
291,292,1,female,19.0,91.0792,B49,hello
292,293,0,male,36.0,12.875,D,hello
293,294,0,female,24.0,8.85,,hello
294,295,0,male,24.0,7.8958,,hello
295,296,0,male,,27.7208,,hello
296,297,0,male,23.5,7.2292,,hello
297,298,0,female,2.0,151.55,C22 C26,hello
298,299,1,male,,30.5,C106,hello
299,300,1,female,50.0,247.5208,B58 B60,hello
300,301,1,female,,7.75,,hello
301,302,1,male,,23.25,,hello
302,303,0,male,19.0,0.0,,hello
303,304,1,female,,12.35,E101,hello
304,305,0,male,,8.05,,hello
305,306,1,male,0.92,151.55,C22 C26,hello
306,307,1,female,,110.8833,,hello
307,308,1,female,17.0,108.9,C65,hello
308,309,0,male,30.0,24.0,,hello
309,310,1,female,30.0,56.9292,E36,hello
310,311,1,female,24.0,83.1583,C54,hello
311,312,1,female,18.0,262.375,B57 B59 B63 B66,hello
312,313,0,female,26.0,26.0,,hello
313,314,0,male,28.0,7.8958,,hello
314,315,0,male,43.0,26.25,,hello
315,316,1,female,26.0,7.8542,,hello
316,317,1,female,24.0,26.0,,hello
317,318,0,male,54.0,14.0,,hello
318,319,1,female,31.0,164.8667,C7,hello
319,320,1,female,40.0,134.5,E34,hello
320,321,0,male,22.0,7.25,,hello
321,322,0,male,27.0,7.8958,,hello
322,323,1,female,30.0,12.35,,hello
323,324,1,female,22.0,29.0,,hello
324,325,0,male,,69.55,,hello
325,326,1,female,36.0,135.6333,C32,hello
326,327,0,male,61.0,6.2375,,hello
327,328,1,female,36.0,13.0,D,hello
328,329,1,female,31.0,20.525,,hello
329,330,1,female,16.0,57.9792,B18,hello
330,331,1,female,,23.25,,hello
331,332,0,male,45.5,28.5,C124,hello
332,333,0,male,38.0,153.4625,C91,hello
333,334,0,male,16.0,18.0,,hello
334,335,1,female,,133.65,,hello
335,336,0,male,,7.8958,,hello
336,337,0,male,29.0,66.6,C2,hello
337,338,1,female,41.0,134.5,E40,hello
338,339,1,male,45.0,8.05,,hello
339,340,0,male,45.0,35.5,T,hello
340,341,1,male,2.0,26.0,F2,hello
341,342,1,female,24.0,263.0,C23 C25 C27,hello
342,343,0,male,28.0,13.0,,hello
343,344,0,male,25.0,13.0,,hello
344,345,0,male,36.0,13.0,,hello
345,346,1,female,24.0,13.0,F33,hello
346,347,1,female,40.0,13.0,,hello
347,348,1,female,,16.1,,hello
348,349,1,male,3.0,15.9,,hello
349,350,0,male,42.0,8.6625,,hello
350,351,0,male,23.0,9.225,,hello
351,352,0,male,,35.0,C128,hello
352,353,0,male,15.0,7.2292,,hello
353,354,0,male,25.0,17.8,,hello
354,355,0,male,,7.225,,hello
355,356,0,male,28.0,9.5,,hello
356,357,1,female,22.0,55.0,E33,hello
357,358,0,female,38.0,13.0,,hello
358,359,1,female,,7.8792,,hello
359,360,1,female,,7.8792,,hello
360,361,0,male,40.0,27.9,,hello
361,362,0,male,29.0,27.7208,,hello
362,363,0,female,45.0,14.4542,,hello
363,364,0,male,35.0,7.05,,hello
364,365,0,male,,15.5,,hello
365,366,0,male,30.0,7.25,,hello
366,367,1,female,60.0,75.25,D37,hello
367,368,1,female,,7.2292,,hello
368,369,1,female,,7.75,,hello
369,370,1,female,24.0,69.3,B35,hello
370,371,1,male,25.0,55.4417,E50,hello
371,372,0,male,18.0,6.4958,,hello
372,373,0,male,19.0,8.05,,hello
373,374,0,male,22.0,135.6333,,hello
374,375,0,female,3.0,21.075,,hello
375,376,1,female,,82.1708,,hello
376,377,1,female,22.0,7.25,,hello
377,378,0,male,27.0,211.5,C82,hello
378,379,0,male,20.0,4.0125,,hello
379,380,0,male,19.0,7.775,,hello
380,381,1,female,42.0,227.525,,hello
381,382,1,female,1.0,15.7417,,hello
382,383,0,male,32.0,7.925,,hello
383,384,1,female,35.0,52.0,,hello
384,385,0,male,,7.8958,,hello
385,386,0,male,18.0,73.5,,hello
386,387,0,male,1.0,46.9,,hello
387,388,1,female,36.0,13.0,,hello
388,389,0,male,,7.7292,,hello
389,390,1,female,17.0,12.0,,hello
390,391,1,male,36.0,120.0,B96 B98,hello
391,392,1,male,21.0,7.7958,,hello
392,393,0,male,28.0,7.925,,hello
393,394,1,female,23.0,113.275,D36,hello
394,395,1,female,24.0,16.7,G6,hello
395,396,0,male,22.0,7.7958,,hello
396,397,0,female,31.0,7.8542,,hello
397,398,0,male,46.0,26.0,,hello
398,399,0,male,23.0,10.5,,hello
399,400,1,female,28.0,12.65,,hello
400,401,1,male,39.0,7.925,,hello
401,402,0,male,26.0,8.05,,hello
402,403,0,female,21.0,9.825,,hello
403,404,0,male,28.0,15.85,,hello
404,405,0,female,20.0,8.6625,,hello
405,406,0,male,34.0,21.0,,hello
406,407,0,male,51.0,7.75,,hello
407,408,1,male,3.0,18.75,,hello
408,409,0,male,21.0,7.775,,hello
409,410,0,female,,25.4667,,hello
410,411,0,male,,7.8958,,hello
411,412,0,male,,6.8583,,hello
412,413,1,female,33.0,90.0,C78,hello
413,414,0,male,,0.0,,hello
414,415,1,male,44.0,7.925,,hello
415,416,0,female,,8.05,,hello
416,417,1,female,34.0,32.5,,hello
417,418,1,female,18.0,13.0,,hello
418,419,0,male,30.0,13.0,,hello
419,420,0,female,10.0,24.15,,hello
420,421,0,male,,7.8958,,hello
421,422,0,male,21.0,7.7333,,hello
422,423,0,male,29.0,7.875,,hello
423,424,0,female,28.0,14.4,,hello
424,425,0,male,18.0,20.2125,,hello
425,426,0,male,,7.25,,hello
426,427,1,female,28.0,26.0,,hello
427,428,1,female,19.0,26.0,,hello
428,429,0,male,,7.75,,hello
429,430,1,male,32.0,8.05,E10,hello
430,431,1,male,28.0,26.55,C52,hello
431,432,1,female,,16.1,,hello
432,433,1,female,42.0,26.0,,hello
433,434,0,male,17.0,7.125,,hello
434,435,0,male,50.0,55.9,E44,hello
435,436,1,female,14.0,120.0,B96 B98,hello
436,437,0,female,21.0,34.375,,hello
437,438,1,female,24.0,18.75,,hello
438,439,0,male,64.0,263.0,C23 C25 C27,hello
439,440,0,male,31.0,10.5,,hello
440,441,1,female,45.0,26.25,,hello
441,442,0,male,20.0,9.5,,hello
442,443,0,male,25.0,7.775,,hello
443,444,1,female,28.0,13.0,,hello
444,445,1,male,,8.1125,,hello
445,446,1,male,4.0,81.8583,A34,hello
446,447,1,female,13.0,19.5,,hello
447,448,1,male,34.0,26.55,,hello
448,449,1,female,5.0,19.2583,,hello
449,450,1,male,52.0,30.5,C104,hello
450,451,0,male,36.0,27.75,,hello
451,452,0,male,,19.9667,,hello
452,453,0,male,30.0,27.75,C111,hello
453,454,1,male,49.0,89.1042,C92,hello
454,455,0,male,,8.05,,hello
455,456,1,male,29.0,7.8958,,hello
456,457,0,male,65.0,26.55,E38,hello
457,458,1,female,,51.8625,D21,hello
458,459,1,female,50.0,10.5,,hello
459,460,0,male,,7.75,,hello
460,461,1,male,48.0,26.55,E12,hello
461,462,0,male,34.0,8.05,,hello
462,463,0,male,47.0,38.5,E63,hello
463,464,0,male,48.0,13.0,,hello
464,465,0,male,,8.05,,hello
465,466,0,male,38.0,7.05,,hello
466,467,0,male,,0.0,,hello
467,468,0,male,56.0,26.55,,hello
468,469,0,male,,7.725,,hello
469,470,1,female,0.75,19.2583,,hello
470,471,0,male,,7.25,,hello
471,472,0,male,38.0,8.6625,,hello
472,473,1,female,33.0,27.75,,hello
473,474,1,female,23.0,13.7917,D,hello
474,475,0,female,22.0,9.8375,,hello
475,476,0,male,,52.0,A14,hello
476,477,0,male,34.0,21.0,,hello
477,478,0,male,29.0,7.0458,,hello
478,479,0,male,22.0,7.5208,,hello
479,480,1,female,2.0,12.2875,,hello
480,481,0,male,9.0,46.9,,hello
481,482,0,male,,0.0,,hello
482,483,0,male,50.0,8.05,,hello
483,484,1,female,63.0,9.5875,,hello
484,485,1,male,25.0,91.0792,B49,hello
485,486,0,female,,25.4667,,hello
486,487,1,female,35.0,90.0,C93,hello
487,488,0,male,58.0,29.7,B37,hello
488,489,0,male,30.0,8.05,,hello
489,490,1,male,9.0,15.9,,hello
490,491,0,male,,19.9667,,hello
491,492,0,male,21.0,7.25,,hello
492,493,0,male,55.0,30.5,C30,hello
493,494,0,male,71.0,49.5042,,hello
494,495,0,male,21.0,8.05,,hello
495,496,0,male,,14.4583,,hello
496,497,1,female,54.0,78.2667,D20,hello
497,498,0,male,,15.1,,hello
498,499,0,female,25.0,151.55,C22 C26,hello
499,500,0,male,24.0,7.7958,,hello
500,501,0,male,17.0,8.6625,,hello
501,502,0,female,21.0,7.75,,hello
502,503,0,female,,7.6292,,hello
503,504,0,female,37.0,9.5875,,hello
504,505,1,female,16.0,86.5,B79,hello
505,506,0,male,18.0,108.9,C65,hello
506,507,1,female,33.0,26.0,,hello
507,508,1,male,,26.55,,hello
508,509,0,male,28.0,22.525,,hello
509,510,1,male,26.0,56.4958,,hello
510,511,1,male,29.0,7.75,,hello
511,512,0,male,,8.05,,hello
512,513,1,male,36.0,26.2875,E25,hello
513,514,1,female,54.0,59.4,,hello
514,515,0,male,24.0,7.4958,,hello
515,516,0,male,47.0,34.0208,D46,hello
516,517,1,female,34.0,10.5,F33,hello
517,518,0,male,,24.15,,hello
518,519,1,female,36.0,26.0,,hello
519,520,0,male,32.0,7.8958,,hello
520,521,1,female,30.0,93.5,B73,hello
521,522,0,male,22.0,7.8958,,hello
522,523,0,male,,7.225,,hello
523,524,1,female,44.0,57.9792,B18,hello
524,525,0,male,,7.2292,,hello
525,526,0,male,40.5,7.75,,hello
526,527,1,female,50.0,10.5,,hello
527,528,0,male,,221.7792,C95,hello
528,529,0,male,39.0,7.925,,hello
529,530,0,male,23.0,11.5,,hello
530,531,1,female,2.0,26.0,,hello
531,532,0,male,,7.2292,,hello
532,533,0,male,17.0,7.2292,,hello
533,534,1,female,,22.3583,,hello
534,535,0,female,30.0,8.6625,,hello
535,536,1,female,7.0,26.25,,hello
536,537,0,male,45.0,26.55,B38,hello
537,538,1,female,30.0,106.425,,hello
538,539,0,male,,14.5,,hello
539,540,1,female,22.0,49.5,B39,hello
540,541,1,female,36.0,71.0,B22,hello
541,542,0,female,9.0,31.275,,hello
542,543,0,female,11.0,31.275,,hello
543,544,1,male,32.0,26.0,,hello
544,545,0,male,50.0,106.425,C86,hello
545,546,0,male,64.0,26.0,,hello
546,547,1,female,19.0,26.0,,hello
547,548,1,male,,13.8625,,hello
548,549,0,male,33.0,20.525,,hello
549,550,1,male,8.0,36.75,,hello
550,551,1,male,17.0,110.8833,C70,hello
551,552,0,male,27.0,26.0,,hello
552,553,0,male,,7.8292,,hello
553,554,1,male,22.0,7.225,,hello
554,555,1,female,22.0,7.775,,hello
555,556,0,male,62.0,26.55,,hello
556,557,1,female,48.0,39.6,A16,hello
557,558,0,male,,227.525,,hello
558,559,1,female,39.0,79.65,E67,hello
559,560,1,female,36.0,17.4,,hello
560,561,0,male,,7.75,,hello
561,562,0,male,40.0,7.8958,,hello
562,563,0,male,28.0,13.5,,hello
563,564,0,male,,8.05,,hello
564,565,0,female,,8.05,,hello
565,566,0,male,24.0,24.15,,hello
566,567,0,male,19.0,7.8958,,hello
567,568,0,female,29.0,21.075,,hello
568,569,0,male,,7.2292,,hello
569,570,1,male,32.0,7.8542,,hello
570,571,1,male,62.0,10.5,,hello
571,572,1,female,53.0,51.4792,C101,hello
572,573,1,male,36.0,26.3875,E25,hello
573,574,1,female,,7.75,,hello
574,575,0,male,16.0,8.05,,hello
575,576,0,male,19.0,14.5,,hello
576,577,1,female,34.0,13.0,,hello
577,578,1,female,39.0,55.9,E44,hello
578,579,0,female,,14.4583,,hello
579,580,1,male,32.0,7.925,,hello
580,581,1,female,25.0,30.0,,hello
581,582,1,female,39.0,110.8833,C68,hello
582,583,0,male,54.0,26.0,,hello
583,584,0,male,36.0,40.125,A10,hello
584,585,0,male,,8.7125,,hello
585,586,1,female,18.0,79.65,E68,hello
586,587,0,male,47.0,15.0,,hello
587,588,1,male,60.0,79.2,B41,hello
588,589,0,male,22.0,8.05,,hello
589,590,0,male,,8.05,,hello
590,591,0,male,35.0,7.125,,hello
591,592,1,female,52.0,78.2667,D20,hello
592,593,0,male,47.0,7.25,,hello
593,594,0,female,,7.75,,hello
594,595,0,male,37.0,26.0,,hello
595,596,0,male,36.0,24.15,,hello
596,597,1,female,,33.0,,hello
597,598,0,male,49.0,0.0,,hello
598,599,0,male,,7.225,,hello
599,600,1,male,49.0,56.9292,A20,hello
600,601,1,female,24.0,27.0,,hello
601,602,0,male,,7.8958,,hello
602,603,0,male,,42.4,,hello
603,604,0,male,44.0,8.05,,hello
604,605,1,male,35.0,26.55,,hello
605,606,0,male,36.0,15.55,,hello
606,607,0,male,30.0,7.8958,,hello
607,608,1,male,27.0,30.5,,hello
608,609,1,female,22.0,41.5792,,hello
609,610,1,female,40.0,153.4625,C125,hello
610,611,0,female,39.0,31.275,,hello
611,612,0,male,,7.05,,hello
612,613,1,female,,15.5,,hello
613,614,0,male,,7.75,,hello
614,615,0,male,35.0,8.05,,hello
615,616,1,female,24.0,65.0,,hello
616,617,0,male,34.0,14.4,,hello
617,618,0,female,26.0,16.1,,hello
618,619,1,female,4.0,39.0,F4,hello
619,620,0,male,26.0,10.5,,hello
620,621,0,male,27.0,14.4542,,hello
621,622,1,male,42.0,52.5542,D19,hello
622,623,1,male,20.0,15.7417,,hello
623,624,0,male,21.0,7.8542,,hello
624,625,0,male,21.0,16.1,,hello
625,626,0,male,61.0,32.3208,D50,hello
626,627,0,male,57.0,12.35,,hello
627,628,1,female,21.0,77.9583,D9,hello
628,629,0,male,26.0,7.8958,,hello
629,630,0,male,,7.7333,,hello
630,631,1,male,80.0,30.0,A23,hello
631,632,0,male,51.0,7.0542,,hello
632,633,1,male,32.0,30.5,B50,hello
633,634,0,male,,0.0,,hello
634,635,0,female,9.0,27.9,,hello
635,636,1,female,28.0,13.0,,hello
636,637,0,male,32.0,7.925,,hello
637,638,0,male,31.0,26.25,,hello
638,639,0,female,41.0,39.6875,,hello
639,640,0,male,,16.1,,hello
640,641,0,male,20.0,7.8542,,hello
641,642,1,female,24.0,69.3,B35,hello
642,643,0,female,2.0,27.9,,hello
643,644,1,male,,56.4958,,hello
644,645,1,female,0.75,19.2583,,hello
645,646,1,male,48.0,76.7292,D33,hello
646,647,0,male,19.0,7.8958,,hello
647,648,1,male,56.0,35.5,A26,hello
648,649,0,male,,7.55,,hello
649,650,1,female,23.0,7.55,,hello
650,651,0,male,,7.8958,,hello
651,652,1,female,18.0,23.0,,hello
652,653,0,male,21.0,8.4333,,hello
653,654,1,female,,7.8292,,hello
654,655,0,female,18.0,6.75,,hello
655,656,0,male,24.0,73.5,,hello
656,657,0,male,,7.8958,,hello
657,658,0,female,32.0,15.5,,hello
658,659,0,male,23.0,13.0,,hello
659,660,0,male,58.0,113.275,D48,hello
660,661,1,male,50.0,133.65,,hello
661,662,0,male,40.0,7.225,,hello
662,663,0,male,47.0,25.5875,E58,hello
663,664,0,male,36.0,7.4958,,hello
664,665,1,male,20.0,7.925,,hello
665,666,0,male,32.0,73.5,,hello
666,667,0,male,25.0,13.0,,hello
667,668,0,male,,7.775,,hello
668,669,0,male,43.0,8.05,,hello
669,670,1,female,,52.0,C126,hello
670,671,1,female,40.0,39.0,,hello
671,672,0,male,31.0,52.0,B71,hello
672,673,0,male,70.0,10.5,,hello
673,674,1,male,31.0,13.0,,hello
674,675,0,male,,0.0,,hello
675,676,0,male,18.0,7.775,,hello
676,677,0,male,24.5,8.05,,hello
677,678,1,female,18.0,9.8417,,hello
678,679,0,female,43.0,46.9,,hello
679,680,1,male,36.0,512.3292,B51 B53 B55,hello
680,681,0,female,,8.1375,,hello
681,682,1,male,27.0,76.7292,D49,hello
682,683,0,male,20.0,9.225,,hello
683,684,0,male,14.0,46.9,,hello
684,685,0,male,60.0,39.0,,hello
685,686,0,male,25.0,41.5792,,hello
686,687,0,male,14.0,39.6875,,hello
687,688,0,male,19.0,10.1708,,hello
688,689,0,male,18.0,7.7958,,hello
